SiteID,StreamName,CatchArea,StreamOrder,CropCover,LivestockDens,WWDens,SpHyalella,SpCaenis,SpBaetidae,SpBaetis,SpProcloeon,SpBaetidaeAV,SpFPOM,SpCPOM,SpCG,Hyalella,Caenis,Baetis,Procloeon,Baetidae,BaetidaeAV,FPOM,CPOM,CG
BO01,Boyne Ri,276.5 ,NA,76.4,24.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,10.32,6.22,7.29,10.32
BR04,Bears Cr,136.8,3,25.9,2.9,0,NA,6.47,NA,NA,8.64,8.64,4.69,3.35,7.57,NA,6.54,NA,7.59,7.51,7.55,4.05,4.47,7.07
BR05,Unnamed Dr,163.4,2,49.5,3,0.7,5.27,4.82,NA,7.52,4.61,6.07,3.86,3.35,5.55,5.32,NA,NA,5.73,NA,5.73,4.06,5.68,5.52
LA02,West Branch Dr,64.9,3,89.4,13.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,6.84,NA,NA,NA,NA,6.1,5.14,6.89
LA03,Elm Ri,105.3,3,80.1,7.8,4.4,4.73,4.32,6.06,NA,NA,6.06,3.11,3.16,5.04,9.69,7.33,8.5,NA,NA,8.50,5.63,6.28,9.1
LR01,Cooks Cr,176.5,2,43.2,47,0.6,NA,6.95,NA,6.63,8.75,7.69,5.47,4.98,7.45,6.53,5.66,NA,6.89,7.07,6.98,4.1,3.87,6.54
LR02,Gamby Dr,544.8,3,72,16.6,11.7,13.11,15.26,NA,NA,NA,NA,12.60,11.87,14.19,12.3,12.02,NA,13.25,NA,13.25,12.53,13.11,12.52
LR03,Devils Cr,305.6,3,58.2,5.9,3.3,9.31,8.79,NA,NA,NA,NA,NA,NA,9.21,10.03,9.73,NA,10.91,NA,10.91,6.52,4.21,10.47
LR04,Edie Cr,80.4,3,26,3.7,0,NA,6.01,NA,7.44,7.46,7.45,5.08,5.34,6.97,6.24,7.23,NA,NA,7.63,7.63,5.83,5.75,7.03
LR05,Satans Cr,140.9,3,30.6,4.3,0.9,7.02,7,NA,NA,6.23,6.23,5.35,3.41,6.75,9.37,9.23,NA,NA,9.9,9.90,7.75,NA,9.5
MO04,South Tobacco Cr,149.5,3,73.8,13.9,4.2,NA,8.94,8.17,9.05,NA,8.61,6.88,5.88,8.72,NA,NA,NA,12.29,NA,12.29,5.78,6.93,12.29
MO06,North Shannon Cr,189.6,3,91.2,7.4,0.8,NA,5.85,NA,NA,2.89,2.89,4.87,4.38,4.37,3.13,NA,NA,2.46,NA,2.46,4.57,4.31,2.8
MO07,Shannon Cr,157.4,3,79.1,18.7,0,7.65,NA,NA,5.21,5.92,5.56,5.06,4.13,6.26,NA,NA,NA,8.04,NA,8.04,5.59,5.92,8.04
RO01,Jordan R,124.8,3,37,11.9,0,3.55,4.22,NA,3.73,NA,3.73,3.88,2.93,3.84,3.86,NA,5.36,NA,NA,5.08,4.19,4.11,4.61
RO02,Casson-Stewart Dr,156.5,2,24.1,11.1,0,2.97,4.2,NA,2.65,NA,2.65,4.61,4.54,3.64,2.54,NA,4.77,NA,NA,4.77,5.85,4.99,3.66
RT04,Manning Canal,375.4,2,53.2,141.9,39.1,12.62,11.57,10.65,NA,NA,10.65,10.09,9.65,11.61,11.35,10.92,NA,NA,NA,11.35,10,11.05,11.13
RT06,Unnamed Dr,88.7,2,56.3,104.7,0,6.15,NA,7.6,NA,7.49,7.85,4.14,6.37,6.82,8.71,8.33,9.54,8.85,NA,9.20,6.8,7.38,8.86
UR03,Hespeler Dr,255.8,3,81.1,21.4,0,6.04,4.89,NA,3.68,4.12,3.9,5.11,5.03,4.72,NA,7.74,NA,NA,NA,NA,6.33,5.38,7.74
UR04,Deadhorse Cr,360.2,4,81.4,21.3,53.6,14.27,11.07,NA,NA,6.57,6.57,13.24,14.48,10.64,24.68,31.42,NA,NA,NA,NA,14.21,18.39,28.05
UR05,Krongsgart Dr,208,2,95.2,16.3,0,12.66,NA,NA,NA,9.47,9.47,8.45,8.77,11.6,NA,NA,NA,NA,NA,NA,9.16,10.39,NA
